ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['PFE'];['Pfizer Inc.'];United States;Drug Manufacturers - General;Healthcare;1.72;7.55;2.771;7.561;0.0;0.0;18127000000.0;0.154;0.6909;0.0;11114000000.0;0.6325;1.3613;0.0;8031000000.0;0.7616;1.538;0.0;14938000000.0;0.7022;1.3353;0.0;45776000000.0;0.055;0.3799;63627000000.0;-0.0328;0.2772;0.7194;0.0606;0.1464;0.2849;0.0805;0.5631;0.1747;0.4884;1.262;0.1262;0.6022;1.4369;0.0376;0.791;1.6439;0.0536;0.7606;1.6178;1.425;0.0481;0.1061;0.425;0.2973;0.5828;0.1091;0.2902;0.4089;62606000000.0;3.4537;2.2328;3.7086;3.3527;-0.0776;0.2562;7.2499;-0.1245;0.6283;5.6877;-0.1215;0.6565
['PSX'];['Phillips 66'];United States;Oil & Gas Refining & Marketing;Energy;4.8;4.58;0.443;15.241;0.0;0.0;5985000000.0;0.8321;1.7346;0.0;3622000000.0;1.515;2.8326;0.0;2117000000.0;2.1071;3.7333;0.0;1746000000.0;6.2005;9.4467;0.0;10828000000.0;0.3125;0.7603;143153000000.0;0.1211;0.2887;0.0756;0.0943;0.3725;0.0418;0.384;1.0186;0.0253;0.808;1.7573;0.0148;1.1814;2.3529;0.0292;1.3476;2.6457;0.0403;1.2699;2.5112;1.382;0.0083;0.0383;0.382;0.0409;0.1553;0.0913;0.3259;0.8984;18324000000.0;3.0617;0.5243;0.9292;3.6179;-0.0132;0.1212;9.7815;0.7501;1.7391;7.5997;0.883;1.9582
['PNW'];['Pinnacle West Capital Corporation'];United States;Utilities - Regulated Electric;Utilities;3.58;3.79;4.371;11.105;0.0;0.0;2070215000.0;0.0711;0.0784;0.0;1114031000.0;0.0553;0.1502;0.0;608806000.0;0.0108;0.1774;0.0;1012063000.0;0.0876;0.1329;0.0;2137193000.0;0.0816;0.0622;5124915000.0;0.1047;0.0228;0.417;-0.0196;0.0726;0.404;-0.0287;0.0878;0.2174;-0.0416;0.1527;0.1188;-0.0817;0.1755;0.0233;-0.047;0.1591;0.0404;-0.0211;0.1553;1.7339;0.0289;0.0152;0.6262;0.0566;0.0448;0.1452;0.701;1.216;11044504000.0;5.335;0.0384;0.0837;2.7689;-0.0249;0.0324;1.2345;-0.1614;0.4096;0.8681;-0.1901;0.3926
['PG'];['The Procter & Gamble Company'];United States;Household & Personal Products;Consumer Defensive;4.23;2.65;4.755;16.487;0.0;0.0;22582000000.0;0.027;0.0066;0.0;19686000000.0;0.0281;0.0079;0.0;14879000000.0;0.0133;0.015;0.0;19886000000.0;0.035;0.045;0.0;43191000000.0;0.0358;0.0513;84039000000.0;0.0337;0.0141;0.5139;0.0028;0.0607;0.2687;-0.0062;0.019;0.2342;-0.0051;0.0207;0.177;-0.0197;0.0076;0.1216;0.0053;0.0348;0.1672;0.0042;0.0326;1.3749;-0.0009;0.0217;0.3647;-0.0016;0.0786;0.2215;-0.062;0.1383;23887000000.0;1.0578;-0.0013;0.1066;3.7698;0.0052;0.058;3.4361;0.1334;0.2978;2.4604;0.1316;0.3425
['PLD'];['Prologis, Inc.'];United States;REIT - Industrial;Real Estate;4.04;3.91;15.46;21.824;0.0;0.0;7532693000.0;0.1351;0.009;0.0;4952174000.0;0.1176;0.0767;0.0;3731635000.0;0.0912;0.1323;0.0;3098041000.0;0.2556;0.1792;0.0;6144369000.0;0.2134;0.1389;8201610000.0;0.2068;0.1354;0.7492;0.0052;0.0057;0.9184;-0.046;0.1206;0.6038;-0.054;0.1775;0.455;-0.0726;0.2111;0.0391;-0.0637;0.1827;0.0585;-0.0501;0.2004;1.4934;0.0106;0.0418;0.4837;0.0431;0.1459;0.0073;0.0219;0.9299;30175977000.0;4.006;0.0623;0.13;3.0871;-0.0171;0.1006;10.77;1.6068;2.381;;;
['PSA'];['Public Storage'];United States;REIT - Industrial;Real Estate;12.0;4.08;13.762;19.456;0.0;0.0;3506246000.0;0.2048;0.5535;0.0;2376480000.0;0.2389;0.6999;0.0;2072011000.0;0.2284;0.7315;0.0;2201172000.0;0.0967;0.1331;0.0;3437615000.0;0.117;0.0997;4695616000.0;0.1146;0.0793;0.7321;0.0009;0.0177;0.7467;0.0573;0.4169;0.5061;0.0795;0.5379;0.4413;0.068;0.5645;0.1049;0.2031;0.7404;0.1992;0.1834;0.6558;1.8992;0.0296;0.0774;;;;;;;8905618000.0;2.5399;0.2512;0.7816;;;;;;;;;
['PHM'];['PulteGroup, Inc.'];United States;Residential Construction;Consumer Cyclical;0.88;0.86;1.205;5.597;0.0;0.0;4095520000.0;0.1754;0.1453;0.0;4006358000.0;0.1782;0.1505;0.0;3083262000.0;0.1746;0.1433;0.0;3889895000.0;0.1594;0.1471;0.0;5221205000.0;0.1202;0.1236;17946950000.0;0.0954;0.0677;0.2909;0.02;0.0552;0.2282;0.0694;0.0715;0.2232;0.0717;0.0761;0.1718;0.0684;0.0674;0.1776;0.0752;0.123;0.2041;0.0433;0.1209;1.1492;-0.03;0.0027;;;;;;;641186000.0;0.1566;-0.1827;0.3399;;;;;;;;;
['PWR'];['Quanta Services, Inc.'];United States;Engineering & Construction;Industrials;0.4;0.14;1.925;22.274;0.0;0.0;2157039000.0;0.248;0.0539;0.0;1414717000.0;0.2723;0.0887;0.0;904824000.0;0.2473;0.2075;0.0;1303048000.0;0.2742;0.0587;0.0;3510761000.0;0.2171;0.0566;23672795000.0;0.224;0.0742;0.1483;-0.004;0.0433;0.0911;0.0213;0.0388;0.0598;0.0439;0.0981;0.0382;0.0266;0.1941;0.0484;0.0925;0.1222;0.0637;0.0573;0.1193;1.3153;-0.0324;0.0101;0.293;-0.1147;0.0458;0.0151;3.679;5.6383;3736997000.0;1.7325;-0.193;0.1138;4.4887;0.0953;0.0468;125.2558;2.2464;3.8933;121.1049;2.2155;3.8505
['QCOM'];['QUALCOMM Incorporated'];United States;Semiconductors;Technology;3.56;2.42;4.005;12.952;0.0;0.0;12739000000.0;0.0823;0.3603;0.0;11033000000.0;0.1037;0.41;0.0;10142000000.0;0.1307;0.4043;0.0;10071000000.0;0.1348;0.4744;0.0;21902000000.0;0.0675;0.2231;38962000000.0;0.0716;0.207;0.5621;-0.0074;0.021;0.327;-0.0186;0.1973;0.2832;-0.0064;0.2527;0.2603;0.0219;0.249;0.1839;0.0127;0.3386;0.2503;-0.0509;0.3051;1.3612;-0.0554;0.0314;0.3612;-0.1602;0.0768;0.0932;0.0032;0.4482;6785000000.0;0.5326;-0.0764;0.1228;3.7689;0.1309;0.0662;18.4978;0.3814;0.6682;13.7889;0.3521;0.7236
['RTX'];['RTX Corporation'];United States;Aerospace & Defense;Industrials;2.52;2.07;2.478;15.137;0.0;0.0;12528000000.0;0.0604;0.1839;0.0;8164000000.0;0.1264;0.3056;0.0;4774000000.0;0.1513;0.3842;0.0;6538000000.0;0.1849;0.492;0.0;15410000000.0;0.0845;0.1594;80738000000.0;0.0802;0.0648;0.1909;-0.0002;0.0997;0.1552;-0.024;0.1179;0.1011;0.0319;0.2307;0.0591;0.0547;0.3225;0.0293;0.1526;0.3921;0.0398;0.1638;0.3574;1.3575;0.0268;0.0498;0.3439;0.1427;0.2409;0.0614;2.449;2.9886;37315000000.0;2.9785;0.1531;0.3921;3.9471;-0.0728;0.1369;20.1708;-0.4369;0.3345;15.1341;-0.4375;0.3399
