ticker;country;industry;sector;EV/revenue;EV/ebitda;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;dividend_yield;dividend_rate;Grade
HD;United States;Home Improvement Retail;Consumer Cyclical;1.0;-2.0;1.0;-1.0;0.19981830570065864;2.0;2.0;0.18269907795473597;1.0;1.0;0.1948985090713131;2.0;2.0;0.19792425942973885;1.0;1.0;0.19679490347914438;2.0;2.0;0.19668382105109594;2.0;-2.0;0.1950379746835443;1.0;-1.0;0.1979181345800861;1.0;0.0;0.19792658196600418;1.0;1.0;0.1971792627176345;2.0;2.0;0.19986857188274057;1.0;1.0;26.156749402516695
DE;United States;Farm & Heavy Construction Machinery;Industrials;0.0;0.0;1.0;1.0;0.15475811946400184;2.0;2.0;0.16010058675607713;1.0;1.0;0.18779414406322975;2.0;2.0;0.19610577953768746;1.0;1.0;0.1949803663124365;2.0;2.0;0.19468365001031276;2.0;-2.0;0.19243881856540085;1.0;-1.0;0.1998587235530313;1.0;-1.0;0.19982336823934582;1.0;1.0;0.19378465129851183;0.0;2.0;0.19945789998516927;1.0;1.0;26.073786107785207
DVA;United States;Medical Care Facilities;Healthcare;1.0;2.0;1.0;1.0;0.17474449239155124;2.0;2.0;0.15979882648784577;1.0;-1.0;0.1845697862403449;2.0;2.0;0.192317489942873;1.0;1.0;0.1933459647966609;2.0;2.0;0.1932227604976281;2.0;-2.0;0.18092827004219408;1.0;-1.0;0.19921887681657074;1.0;0.0;0.1992111279791571;1.0;1.0;0.18420387121875306;0.0;2.0;0.19947395978004637;;;26.061035426193627
OTIS;United States;Specialty Industrial Machinery;Industrials;0.0;-2.0;1.0;-1.0;0.19064274358392008;2.0;2.0;0.18347024308466053;1.0;1.0;0.19559906592419615;2.0;2.0;0.1980932443850335;1.0;1.0;0.19871049235247276;2.0;2.0;0.19450053576010023;2.0;-2.0;0.18018565400843883;1.0;1.0;0.1728979331184457;1.0;1.0;0.1721404837410999;1.0;1.0;0.17383523003598875;0.0;2.0;0.19986136136259167;1.0;1.0;26.05993698735695
MDLZ;United States;Confectioners;Consumer Defensive;1.0;0.0;1.0;-1.0;0.1736543265955031;2.0;2.0;0.11027661357921208;1.0;1.0;0.1704329082090893;2.0;2.0;0.18952545493524348;1.0;1.0;0.18926655133591455;2.0;2.0;0.19141375268508878;2.0;-2.0;0.16043881856540085;1.0;-1.0;0.19947841877407008;1.0;0.0;0.1993833038427211;1.0;1.0;0.18501118568232663;0.0;2.0;0.19850840558192587;1.0;1.0;25.967389739786498
FAST;United States;Industrial Distribution;Industrials;-1.0;-2.0;1.0;1.0;0.19622984328866683;2.0;2.0;0.19872590108968985;1.0;1.0;0.19984731453206395;2.0;2.0;0.2;1.0;1.0;0.1991388637174946;2.0;2.0;0.19872826147105138;2.0;-2.0;0.009215189873417712;1.0;-1.0;0.19777667975376517;1.0;0.0;0.19749435994825812;1.0;1.0;0.16297052815873944;2.0;2.0;0.19907738117185703;1.0;1.0;25.959204323005004
WTW;United Kingdom;Insurance Brokers;Financial Services;0.0;0.0;1.0;1.0;0.19754712695889168;2.0;2.0;0.04714165968147527;1.0;1.0;0.13638404885934974;2.0;2.0;0.15832881445704128;1.0;1.0;0.15832056457149135;2.0;2.0;0.1629606153443705;2.0;-2.0;0.1591898734177215;1.0;-1.0;0.1987697176076475;;;;1.0;1.0;0.18501118568232663;0.0;2.0;0.18947264058261004;1.0;1.0;25.593126247162928
GPN;United States;Specialty Business Services;Industrials;0.0;0.0;1.0;1.0;0.190233931410402;2.0;2.0;0.10326906957250628;1.0;1.0;0.12492365726603198;2.0;2.0;0.11019080166967227;1.0;1.0;0.12718565505121238;2.0;2.0;0.13156155204418893;2.0;-2.0;0.18562025316455696;1.0;-1.0;0.19877043112505643;;;;1.0;1.0;0.1927438965081218;0.0;2.0;0.19893022101063634;1.0;1.0;25.563429468822388
TSLA;United States;Auto Manufacturers;Consumer Cyclical;-1.0;-2.0;1.0;-1.0;0.10947081535316831;2.0;2.0;0.10947191953059514;1.0;1.0;0.14763786599604817;2.0;2.0;0.1613251447091315;1.0;1.0;0.14671499574374608;2.0;2.0;0.1586946569877706;2.0;2.0;-0.20000000000000004;1.0;-1.0;0.19923136337122707;1.0;0.0;0.19936583672612765;1.0;1.0;0.13273027915572416;2.0;2.0;0.19979744993399917;;;25.364440327507538
ITW;United States;Specialty Industrial Machinery;Industrials;-1.0;-2.0;1.0;1.0;0.19250511015216898;2.0;2.0;0.1960435875943001;1.0;1.0;0.19892222022633377;2.0;2.0;0.19849679054693117;1.0;1.0;0.1977021720624983;2.0;2.0;0.198448559484463;2.0;-2.0;0.17964556962025316;1.0;-1.0;0.19973314448905913;1.0;-1.0;0.19961304989669001;1.0;1.0;0.1885614239859936;2.0;2.0;0.19990331347982163;1.0;1.0;25.14957494153851
DHR;United States;Diagnostics & Research;Healthcare;-1.0;-2.0;1.0;1.0;0.17510788099023394;2.0;2.0;0.15564124056999162;1.0;1.0;0.1840758038440812;2.0;2.0;0.19117494987200023;1.0;1.0;0.19167641486119122;2.0;2.0;0.19245408309563697;2.0;-2.0;0.1870717299578059;1.0;-1.0;0.19921067136636803;1.0;-1.0;0.19926602463130794;1.0;1.0;0.1960023344032682;2.0;2.0;0.19930221830013628;1.0;1.0;25.07098335189202
CDW;United States;Information Technology Services;Technology;1.0;0.0;1.0;1.0;0.16961162843515787;2.0;2.0;0.17629505448449287;1.0;1.0;0.19854499730555059;2.0;2.0;0.19859515492389374;1.0;-1.0;0.19800752395859078;2.0;-2.0;0.19937016746904918;2.0;-2.0;0.15439662447257385;1.0;1.0;0.1943842612329938;1.0;1.0;0.19420359082922908;1.0;1.0;0.17435074409104176;0.0;2.0;0.19785945876852512;1.0;1.0;25.055619205971098
LIN;United Kingdom;Specialty Chemicals;Basic Materials;-1.0;-2.0;1.0;1.0;0.17033840563252328;2.0;2.0;0.15731768650461023;1.0;1.0;0.18360876594215916;2.0;2.0;0.19458491494003557;1.0;1.0;0.19525496334129666;2.0;2.0;0.19638802110844492;2.0;-2.0;0.16263291139240504;1.0;-1.0;0.1996004302509976;1.0;-1.0;0.19959789984658347;1.0;1.0;0.18295885614239862;2.0;2.0;0.19959850512807278;1.0;1.0;25.041881360229528
BALL;United States;Packaging & Containers;Consumer Cyclical;1.0;0.0;1.0;-1.0;0.14858051328639565;2.0;2.0;0.15983235540653815;1.0;1.0;0.18799173702173524;2.0;2.0;0.1943654867145037;1.0;1.0;0.19500672762720708;2.0;2.0;0.19639003335295274;2.0;-2.0;0.17049789029535864;1.0;-1.0;0.19895576727202674;1.0;-1.0;0.19893236705719633;1.0;1.0;0.186217294037545;0.0;2.0;0.1996047323954741;1.0;1.0;25.036374904466935
EIX;United States;Utilities - Regulated Electric;Utilities;0.0;0.0;1.0;1.0;0.15848285260049966;2.0;2.0;0.14051969823973176;1.0;1.0;0.16647206754086583;2.0;2.0;0.18881168266138695;1.0;1.0;0.19286706757832883;2.0;2.0;0.19364533184427243;2.0;-2.0;0.19027848101265823;1.0;-1.0;0.19990974004777;1.0;0.0;0.19989965319752948;1.0;1.0;0.19415426514930456;-2.0;2.0;0.1996965026519146;1.0;1.0;25.024737342524265
BWA;United States;Auto Parts;Consumer Cyclical;1.0;2.0;1.0;-1.0;0.1907790143084261;2.0;-2.0;0.11798826487845768;1.0;1.0;0.16207113346506197;2.0;2.0;0.18895040165453927;1.0;1.0;0.19158634703572508;2.0;2.0;0.19292092382145357;2.0;-2.0;0.17951054852320675;1.0;-1.0;0.19980610164412252;1.0;-1.0;0.19970056371554087;1.0;1.0;0.19150860811205137;2.0;2.0;0.19879617088605003;1.0;1.0;25.013618078044633
ETR;United States;Utilities - Regulated Electric;Utilities;0.0;2.0;1.0;1.0;0.1555303202362026;2.0;2.0;0.1266387259010897;1.0;1.0;0.17413328543201007;2.0;2.0;0.17999419902392275;1.0;1.0;0.18733558502897;2.0;2.0;0.18946187551249355;2.0;-2.0;0.18217721518987343;1.0;-1.0;0.19993988615829741;0.0;-1.0;0.19992924035420817;1.0;1.0;0.18981616574263205;-2.0;2.0;0.19955950276908557;1.0;1.0;24.984516001348787
APD;United States;Specialty Chemicals;Basic Materials;-1.0;-2.0;1.0;1.0;0.1495344083579378;2.0;2.0;0.10712489522212909;1.0;1.0;0.16902281300520927;2.0;2.0;0.1905948522642723;1.0;1.0;0.19592278331548454;2.0;2.0;0.19597349873983191;2.0;-2.0;0.18065822784810126;1.0;-1.0;0.19927310413964966;1.0;-1.0;0.19922128742452266;1.0;1.0;0.19093473397529426;2.0;2.0;0.19899314918648128;1.0;1.0;24.977253753478916
MA;United States;Credit Services;Financial Services;-1.0;-2.0;1.0;1.0;0.19777424483306838;2.0;2.0;0.1862531433361274;1.0;1.0;0.19715286509789834;2.0;2.0;0.19865064252115466;1.0;1.0;0.19862921163193015;2.0;2.0;0.1989717430564988;2.0;-2.0;0.19466666666666668;1.0;-1.0;0.19806601106308744;;;;1.0;1.0;0.19755860324871125;2.0;2.0;0.19844318314966994;1.0;1.0;24.966166314604813
